ar,smasvaedi,tekjutiund,fjoldi
2012,3005,5,60
2012,3005,6,60
2012,3005,7,53
2012,3005,8,66
2012,3005,9,41
2012,3005,10,30
2012,3006,1,41
2012,3006,2,43
2012,3006,3,49
2012,3006,4,59
2012,3006,5,62
2012,3006,6,54
2012,3006,7,43
2012,3006,8,46
2012,3006,9,42
2012,3006,10,25
2012,3101,1,84
2012,3101,2,121
2012,3101,3,123
2012,3101,4,108
2012,3101,5,104
2012,3101,6,100
2012,3101,7,65
2012,3101,8,70
2012,3101,9,62
2012,3101,10,96
2012,3102,1,34
2012,3102,2,46
2012,3102,3,43
2012,3102,4,51
2012,3102,5,43
2012,3102,6,28
2012,3102,7,27
2012,3102,8,27
2012,3102,9,26
2012,3102,10,45
2012,3103,1,58
2012,3103,2,74
2012,3103,3,105
2012,3103,4,93
2012,3103,5,93
2012,3103,6,80
2012,3103,7,86
2012,3103,8,51
2012,3103,9,41
2012,3103,10,49
2012,3104,1,47
2012,3104,2,57
2012,3104,3,96
2012,3104,4,89
2012,3104,5,79
2012,3104,6,75
2012,3104,7,83
2012,3104,8,53
2012,3104,9,42
2012,3104,10,28
2012,3105,1,34
2012,3105,2,38
2012,3105,3,44
2012,3105,4,57
2012,3105,5,53
2012,3105,6,48
2012,3105,7,45
2012,3105,8,52
2012,3105,9,29
2012,3105,10,22
2012,3201,1,32
2012,3201,2,56
2012,3201,3,54
2012,3201,4,57
2012,3201,5,49
2012,3201,6,39
2012,3201,7,50
2012,3201,8,49
2012,3201,9,37
2012,3201,10,16
2012,3202,1,72
2012,3202,2,62
2012,3202,3,74
2012,3202,4,71
2012,3202,5,73
2012,3202,6,79
2012,3202,7,81
2012,3202,8,84
2012,3202,9,74
2012,3202,10,49
2012,3203,1,41
2012,3203,2,57
2012,3203,3,76
2012,3203,4,75
2012,3203,5,63
2012,3203,6,64
2012,3203,7,77
2012,3203,8,97
2012,3203,9,66
2012,3203,10,36
2012,3204,1,105
2012,3204,2,84
2012,3204,3,101
2012,3204,4,101
2012,3204,5,103
2012,3204,6,105
2012,3204,7,105
2012,3204,8,120
2012,3204,9,111
2012,3204,10,126
2012,3205,1,27
2012,3205,2,27
2012,3205,3,35
2012,3205,4,34
2012,3205,5,31
2012,3205,6,36
2012,3205,7,38
2012,3205,8,28
2012,3205,9,41
2012,3205,10,27
2012,3301,1,65
2012,3301,2,86
2012,3301,3,82
2012,3301,4,62
2012,3301,5,63
2012,3301,6,64
2012,3301,7,77
2012,3301,8,58
2012,3301,9,56
2012,3301,10,34
2012,3302,1,117
2012,3302,2,111
2012,3302,3,108
2012,3302,4,116
2012,3302,5,95
2012,3302,6,89
2012,3302,7,88
2012,3302,8,81
2012,3302,9,69
2012,3302,10,41
2012,3303,1,98
2012,3303,2,101
2012,3303,3,69
2012,3303,4,83
2012,3303,5,74
2012,3303,6,75
2012,3303,7,47
2012,3303,8,37
2012,3303,9,27
2012,3303,10,24
2012,3304,1,77
2012,3304,2,90
2012,3304,3,116
2012,3304,4,101
2012,3304,5,65
2012,3304,6,91
2012,3304,7,68
2012,3304,8,74
2012,3304,9,96
2012,3304,10,229
2012,3305,1,124
2012,3305,2,132
2012,3305,3,163
2012,3305,4,149
2012,3305,5,82
2012,3305,6,83
2012,3305,7,70
2012,3305,8,70
2012,3305,9,81
2012,3305,10,117
2012,3401,1,100
2012,3401,2,128
2012,3401,3,126
2012,3401,4,140
2012,3401,5,118
2012,3401,6,90
2012,3401,7,81
2012,3401,8,95
2012,3401,9,65
2012,3401,10,85
2012,3402,1,59
2012,3402,2,60
2012,3402,3,98
2012,3402,4,72
2012,3402,5,43
2012,3402,6,49
2012,3402,7,43
2012,3402,8,34
2012,3402,9,23
2012,3402,10,39
2012,3403,1,169
2012,3403,2,130
2012,3403,3,138
2012,3403,4,159
2012,3403,5,152
2012,3403,6,145
2012,3403,7,123
2012,3403,8,141
2012,3403,9,121
2012,3403,10,146
2012,3404,1,59
2012,3404,2,52
2012,3404,3,54
2012,3404,4,63
2012,3404,5,56
2012,3404,6,43
2012,3404,7,43
2012,3404,8,33
2012,3404,9,31
2012,3404,10,51
2012,3501,1,62
2012,3501,2,57
2012,3501,3,57
2012,3501,4,69
2012,3501,5,46
2012,3501,6,51
2012,3501,7,52
2012,3501,8,30
2012,3501,9,29
2012,3501,10,14
2012,3502,1,108
2012,3502,2,88
2012,3502,3,97
2012,3502,4,109
2012,3502,5,90
2012,3502,6,103
2012,3502,7,71
2012,3502,8,43
2012,3502,9,49
2012,3502,10,33
2012,3503,1,83
2012,3503,2,96
2012,3503,3,73
2012,3503,4,90
2012,3503,5,69
2012,3503,6,54
2012,3503,7,61
2012,3503,8,43
2012,3503,9,37
2012,3503,10,25
2012,3504,1,137
2012,3504,2,116
2012,3504,3,148
2012,3504,4,172
2012,3504,5,151
2012,3504,6,151
2012,3504,7,135
2012,3504,8,116
2012,3504,9,104
2012,3504,10,92
2012,3601,1,100
2012,3601,2,118
2012,3601,3,128
2012,3601,4,118
2012,3601,5,96
2012,3601,6,102
2012,3601,7,65
2012,3601,8,72
2012,3601,9,67
2012,3601,10,82
2012,3602,1,99
2012,3602,2,146
2012,3602,3,120
2012,3602,4,114
2012,3602,5,123
2012,3602,6,99
2012,3602,7,75
2012,3602,8,55
2012,3602,9,52
2012,3602,10,63
2012,3603,1,140
2012,3603,2,131
2012,3603,3,144
2012,3603,4,133
2012,3603,5,138
2012,3603,6,91
2012,3603,7,88
2012,3603,8,79
2012,3603,9,55
2012,3603,10,52
2012,3701,1,62
2012,3701,2,61
2012,3701,3,58
2012,3701,4,56
2012,3701,5,46
2012,3701,6,72
2012,3701,7,55
2012,3701,8,59
2012,3701,9,58
2012,3701,10,53
2012,3702,1,91
2012,3702,2,86
2012,3702,3,84
2012,3702,4,96
2012,3702,5,100
2012,3702,6,91
2012,3702,7,68
2012,3702,8,61
2012,3702,9,38
2012,3702,10,48
2012,3703,1,92
2012,3703,2,89
2012,3703,3,88
2012,3703,4,84
2012,3703,5,80
2012,3703,6,76
2012,3703,7,75
2012,3703,8,64
2012,3703,9,53
2012,3703,10,75
2012,3704,1,79
2012,3704,2,59
2012,3704,3,60
2012,3704,4,66
2012,3704,5,57
2012,3704,6,53
2012,3704,7,36
2012,3704,8,33
2012,3704,9,29
2012,3704,10,34
2012,3801,1,40
2012,3801,2,40
2012,3801,3,49
2012,3801,4,53
2012,3801,5,57
2012,3801,6,43
2012,3801,7,51
2012,3801,8,57
2012,3801,9,42
2012,3801,10,31
2012,3802,1,52
2012,3802,2,40
2012,3802,3,27
2012,3802,4,45
2012,3802,5,60
2012,3802,6,54
2012,3802,7,41
2012,3802,8,32
2012,3802,9,30
2012,3802,10,26
2012,3803,1,77
2012,3803,2,44
2012,3803,3,47
2012,3803,4,81
2012,3803,5,60
2012,3803,6,65
2012,3803,7,70
2012,3803,8,48
2012,3803,9,69
2012,3803,10,54
2012,3804,1,117
2012,3804,2,93
2012,3804,3,86
2012,3804,4,88
2012,3804,5,99
2012,3804,6,93
2012,3804,7,82
2012,3804,8,65
2012,3804,9,63
2012,3804,10,52
2012,3901,1,112
2012,3901,2,86
2012,3901,3,99
2012,3901,4,105
2012,3901,5,99
2012,3901,6,111
2012,3901,7,93
2012,3901,8,62
2012,3901,9,53
2012,3901,10,45
2012,3902,1,91
2012,3902,2,109
2012,3902,3,103
2012,3902,4,75
2012,3902,5,103
2012,3902,6,102
2012,3902,7,61
2012,3902,8,67
2012,3902,9,54
2012,3902,10,38
2012,3903,1,152
2012,3903,2,112
2012,3903,3,134
2012,3903,4,121
2012,3903,5,122
2012,3903,6,117
2012,3903,7,95
2012,3903,8,63
2012,3903,9,62
2012,3903,10,69
2012,3904,1,97
2012,3904,2,96
2012,3904,3,112
2012,3904,4,92
2012,3904,5,105
2012,3904,6,96
2012,3904,7,61
2012,3904,8,67
2012,3904,9,45
2012,3904,10,35
2012,4001,1,82
2012,4001,2,71
2012,4001,3,94
2012,4001,4,66
2012,4001,5,61
2012,4001,6,55
2012,4001,7,48
2012,4001,8,42
2012,4001,9,42
2012,4001,10,30
2012,4002,1,115
2012,4002,2,119
2012,4002,3,127
2012,4002,4,149
2012,4002,5,126
2012,4002,6,103
2012,4002,7,96
2012,4002,8,112
2012,4002,9,78
2012,4002,10,70
2012,4003,1,83
2012,4003,2,88
2012,4003,3,75
2012,4003,4,66
2012,4003,5,51
2012,4003,6,46
2012,4003,7,51
2012,4003,8,35
2012,4003,9,20
2012,4003,10,26
2012,4101,1,88
2012,4101,2,72
2012,4101,3,84
2012,4101,4,106
2012,4101,5,60
2012,4101,6,56
2012,4101,7,43
2012,4101,8,62
2012,4101,9,85
2012,4101,10,80
2012,4102,1,156
2012,4102,2,130
2012,4102,3,143
2012,4102,4,148
2012,4102,5,132
2012,4102,6,130
2012,4102,7,146
2012,4102,8,127
2012,4102,9,138
2012,4102,10,149
2012,4103,1,82
2012,4103,2,90
2012,4103,3,91
2012,4103,4,54
2012,4103,5,56
2012,4103,6,56
2012,4103,7,31
2012,4103,8,34
2012,4103,9,41
2012,4103,10,35
2012,4201,1,78
2012,4201,2,66
2012,4201,3,88
2012,4201,4,64
2012,4201,5,69
2012,4201,6,73
2012,4201,7,68
2012,4201,8,84
2012,4201,9,104
2012,4201,10,144
2012,4202,1,43
2012,4202,2,51
2012,4202,3,47
2012,4202,4,45
2012,4202,5,36
2012,4202,6,44
2012,4202,7,41
2012,4202,8,38
2012,4202,9,71
2012,4202,10,116
2012,4203,1,49
2012,4203,2,52
2012,4203,3,50
2012,4203,4,34
2012,4203,5,54
2012,4203,6,39
2012,4203,7,52
2012,4203,8,73
2012,4203,9,105
2012,4203,10,114
2012,4204,1,74
2012,4204,2,54
2012,4204,3,66
2012,4204,4,47
2012,4204,5,48
2012,4204,6,36
2012,4204,7,44
2012,4204,8,39
2012,4204,9,86
2012,4204,10,59
2013,0101,1,71
2013,0101,2,77
2013,0101,3,66
2013,0101,4,72
2013,0101,5,68
2013,0101,6,61
2013,0101,7,75
2013,0101,8,73
2013,0101,9,80
2013,0101,10,66
2013,0102,1,54
2013,0102,2,52
2013,0102,3,41
2013,0102,4,38
2013,0102,5,37
2013,0102,6,40
2013,0102,7,59
2013,0102,8,62
2013,0102,9,67
2013,0102,10,74
2013,0103,1,68
2013,0103,2,64
2013,0103,3,41
2013,0103,4,51
2013,0103,5,55
2013,0103,6,44
2013,0103,7,63
2013,0103,8,74
2013,0103,9,95
2013,0103,10,85
2013,0104,1,45
2013,0104,2,51
2013,0104,3,49
2013,0104,4,48
2013,0104,5,59
2013,0104,6,50
2013,0104,7,49
2013,0104,8,54
2013,0104,9,42
2013,0104,10,53
2013,0201,1,49
2013,0201,2,45
2013,0201,3,28
2013,0201,4,25
2013,0201,5,36
2013,0201,6,39
2013,0201,7,45
2013,0201,8,52
2013,0201,9,65
2013,0201,10,89
2013,0202,1,98
2013,0202,2,118
2013,0202,3,69
2013,0202,4,59
2013,0202,5,66
2013,0202,6,51
2013,0202,7,67
2013,0202,8,62
2013,0202,9,70
2013,0202,10,96
2013,0203,1,76
2013,0203,2,71
2013,0203,3,46
2013,0203,4,39
2013,0203,5,58
2013,0203,6,73
2013,0203,7,86
2013,0203,8,91
2013,0203,9,109
2013,0203,10,113
2013,0204,1,73
2013,0204,2,62
2013,0204,3,57
2013,0204,4,50
2013,0204,5,60
2013,0204,6,59
2013,0204,7,66
2013,0204,8,83
2013,0204,9,86
2013,0204,10,82
2013,0205,1,55
2013,0205,2,48
2013,0205,3,61
2013,0205,4,51
2013,0205,5,39
2013,0205,6,48
2013,0205,7,78
2013,0205,8,73
2013,0205,9,68
2013,0205,10,79
2013,0206,1,78
2013,0206,2,65
2013,0206,3,64
2013,0206,4,65
2013,0206,5,71
2013,0206,6,62
2013,0206,7,83
2013,0206,8,115
2013,0206,9,100
2013,0206,10,127
2013,0207,1,40
2013,0207,2,32
2013,0207,3,34
2013,0207,4,39
2013,0207,5,38
2013,0207,6,48
2013,0207,7,50
2013,0207,8,47
2013,0207,9,61
2013,0207,10,40
2013,0208,1,66
2013,0208,2,45
2013,0208,3,50
2013,0208,4,57
2013,0208,5,69
2013,0208,6,66
2013,0208,7,77
2013,0208,8,76
2013,0208,9,104
2013,0208,10,85
2013,0301,1,81
2013,0301,2,119
2013,0301,3,103
2013,0301,4,83
2013,0301,5,83
2013,0301,6,81
2013,0301,7,102
2013,0301,8,108
2013,0301,9,132
2013,0301,10,133
2013,0302,1,105
2013,0302,2,164
2013,0302,3,121
2013,0302,4,131
2013,0302,5,112
2013,0302,6,106
2013,0302,7,124
2013,0302,8,121
2013,0302,9,128
2013,0302,10,85
2013,0303,1,67
2013,0303,2,87
2013,0303,3,66
2013,0303,4,79
2013,0303,5,61
2013,0303,6,60
2013,0303,7,67
2013,0303,8,60
2013,0303,9,69
2013,0303,10,80
2013,0304,1,78
2013,0304,2,107
2013,0304,3,119
2013,0304,4,119
2013,0304,5,112
2013,0304,6,93
2013,0304,7,102
2013,0304,8,89
2013,0304,9,69
2013,0304,10,76
2013,0401,1,115
2013,0401,2,89
2013,0401,3,88
2013,0401,4,107
2013,0401,5,97
2013,0401,6,111
2013,0401,7,119
2013,0401,8,113
2013,0401,9,146
2013,0401,10,133
2013,0402,1,112
2013,0402,2,104
2013,0402,3,84
2013,0402,4,80
2013,0402,5,88
2013,0402,6,111
2013,0402,7,120
2013,0402,8,130
2013,0402,9,152
2013,0402,10,118
2013,0403,1,51
2013,0403,2,55
2013,0403,3,47
2013,0403,4,68
2013,0403,5,62
2013,0403,6,76
2013,0403,7,65
2013,0403,8,64
2013,0403,9,64
2013,0403,10,40
2013,0404,1,103
2013,0404,2,96
2013,0404,3,70
2013,0404,4,87
2013,0404,5,103
2013,0404,6,117
2013,0404,7,121
2013,0404,8,114
2013,0404,9,120
2013,0404,10,103
2013,0405,1,75
2013,0405,2,82
2013,0405,3,88
2013,0405,4,92
2013,0405,5,93
2013,0405,6,93
2013,0405,7,111
2013,0405,8,97
2013,0405,9,96
2013,0405,10,55
2013,0501,1,70
2013,0501,2,84
2013,0501,3,74
2013,0501,4,97
2013,0501,5,70
2013,0501,6,59
2013,0501,7,80
2013,0501,8,82
2013,0501,9,51
2013,0501,10,48
2013,0502,1,72
2013,0502,2,56
2013,0502,3,61
2013,0502,4,46
2013,0502,5,83
2013,0502,6,84
2013,0502,7,87
2013,0502,8,83
2013,0502,9,79
2013,0502,10,76
2013,0503,1,69
2013,0503,2,49
2013,0503,3,51
2013,0503,4,56
2013,0503,5,57
2013,0503,6,65
2013,0503,7,74
2013,0503,8,75
2013,0503,9,80
2013,0503,10,66
2013,0504,1,43
2013,0504,2,63
2013,0504,3,47
2013,0504,4,58
2013,0504,5,55
2013,0504,6,69
2013,0504,7,68
2013,0504,8,75
2013,0504,9,60
2013,0504,10,46
2013,0601,1,100
2013,0601,2,95
2013,0601,3,98
2013,0601,4,120
2013,0601,5,107
2013,0601,6,121
2013,0601,7,134
2013,0601,8,114
2013,0601,9,120
2013,0601,10,81
2013,0602,1,76
2013,0602,2,65
2013,0602,3,60
2013,0602,4,63
2013,0602,5,74
2013,0602,6,82
2013,0602,7,100
2013,0602,8,120
2013,0602,9,114
2013,0602,10,70
2013,0603,1,43
2013,0603,2,40
2013,0603,3,23
2013,0603,4,37
2013,0603,5,31
2013,0603,6,34
2013,0603,7,32
2013,0603,8,39
2013,0603,9,45
2013,0603,10,62
2013,0604,1,59
2013,0604,2,55
2013,0604,3,64
2013,0604,4,67
2013,0604,5,62
2013,0604,6,66
2013,0604,7,83
2013,0604,8,92
2013,0604,9,73
2013,0604,10,71
2013,0605,1,56
2013,0605,2,47
2013,0605,3,46
2013,0605,4,40
2013,0605,5,53
2013,0605,6,47
2013,0605,7,60
2013,0605,8,47
2013,0605,9,46
2013,0605,10,73
2013,0606,1,74
2013,0606,2,58
2013,0606,3,67
2013,0606,4,55
2013,0606,5,79
2013,0606,6,86
2013,0606,7,77
2013,0606,8,84
2013,0606,9,80
2013,0606,10,62
2013,0701,1,83
2013,0701,2,73
2013,0701,3,54
2013,0701,4,60
2013,0701,5,59
2013,0701,6,65
2013,0701,7,73
2013,0701,8,70
2013,0701,9,92
2013,0701,10,93
2013,0702,1,54
2013,0702,2,53
2013,0702,3,48
2013,0702,4,46
2013,0702,5,35
2013,0702,6,42
2013,0702,7,68
2013,0702,8,64
2013,0702,9,67
2013,0702,10,133
2013,0703,1,65
2013,0703,2,43
2013,0703,3,46
2013,0703,4,52
2013,0703,5,65
2013,0703,6,72
2013,0703,7,80
2013,0703,8,84
2013,0703,9,100
2013,0703,10,78
2013,0704,1,84
2013,0704,2,64
2013,0704,3,85
2013,0704,4,72
2013,0704,5,87
2013,0704,6,86
2013,0704,7,101
2013,0704,8,99
2013,0704,9,123
2013,0704,10,148
2013,0705,1,90
2013,0705,2,73
2013,0705,3,70
2013,0705,4,70
2013,0705,5,71
2013,0705,6,61
2013,0705,7,81
2013,0705,8,88
2013,0705,9,127
2013,0705,10,190
2013,0706,1,135
2013,0706,2,130
2013,0706,3,112
2013,0706,4,107
2013,0706,5,114
2013,0706,6,129
2013,0706,7,135
2013,0706,8,147
2013,0706,9,154
2013,0706,10,132
2013,0707,1,45
2013,0707,2,56
2013,0707,3,56
2013,0707,4,61
2013,0707,5,57
2013,0707,6,55
2013,0707,7,53
2013,0707,8,66
2013,0707,9,63
2013,0707,10,42
2013,0708,1,73
2013,0708,2,84
2013,0708,3,79
2013,0708,4,97
2013,0708,5,83
2013,0708,6,87
2013,0708,7,102
2013,0708,8,96
2013,0708,9,101
2013,0708,10,86
2013,0801,1,52
2013,0801,2,71
2013,0801,3,84
2013,0801,4,117
2013,0801,5,90
2013,0801,6,87
2013,0801,7,62
2013,0801,8,54
2013,0801,9,40
2013,0801,10,22
2013,0802,1,58
2013,0802,2,51
2013,0802,3,52
2013,0802,4,52
2013,0802,5,67
2013,0802,6,61
2013,0802,7,73
2013,0802,8,63
2013,0802,9,50
2013,0802,10,38
2013,0803,1,71
2013,0803,2,93
2013,0803,3,144
2013,0803,4,135
2013,0803,5,158
2013,0803,6,120
2013,0803,7,113
2013,0803,8,79
2013,0803,9,37
2013,0803,10,27
2013,0804,1,97
2013,0804,2,124
2013,0804,3,135
2013,0804,4,148
2013,0804,5,162
2013,0804,6,149
2013,0804,7,138
2013,0804,8,108
2013,0804,9,81
2013,0804,10,54
2013,0805,1,83
2013,0805,2,89
2013,0805,3,82
2013,0805,4,71
2013,0805,5,81
2013,0805,6,82
2013,0805,7,61
2013,0805,8,72
2013,0805,9,62
2013,0805,10,38
2013,0806,1,83
2013,0806,2,84
2013,0806,3,87
2013,0806,4,123
2013,0806,5,107
2013,0806,6,119
2013,0806,7,104
2013,0806,8,89
2013,0806,9,73
2013,0806,10,35
2013,0807,1,72
2013,0807,2,80
2013,0807,3,71
2013,0807,4,80
2013,0807,5,90
2013,0807,6,93
2013,0807,7,84
2013,0807,8,64
2013,0807,9,57
2013,0807,10,31
2013,0901,1,116
2013,0901,2,118
2013,0901,3,95
2013,0901,4,104
2013,0901,5,95
2013,0901,6,129
2013,0901,7,127
2013,0901,8,97
2013,0901,9,98
2013,0901,10,126
2013,0902,1,86
2013,0902,2,66
2013,0902,3,60
2013,0902,4,59
2013,0902,5,64
2013,0902,6,59
2013,0902,7,48
2013,0902,8,54
2013,0902,9,80
2013,0902,10,105
2013,0903,1,82
2013,0903,2,83
2013,0903,3,103
2013,0903,4,86
2013,0903,5,108
2013,0903,6,96
2013,0903,7,90
2013,0903,8,101
2013,0903,9,62
2013,0903,10,36
2013,0904,1,77
2013,0904,2,78
2013,0904,3,76
2013,0904,4,85
2013,0904,5,82
2013,0904,6,73
2013,0904,7,89
2013,0904,8,83
2013,0904,9,98
2013,0904,10,100
2013,0905,1,52
2013,0905,2,43
2013,0905,3,42
2013,0905,4,62
2013,0905,5,54
2013,0905,6,51
2013,0905,7,54
2013,0905,8,56
2013,0905,9,52
2013,0905,10,41
2013,1001,1,30
2013,1001,2,25
2013,1001,3,33
2013,1001,4,29
2013,1001,5,43
2013,1001,6,50
2013,1001,7,37
2013,1001,8,45
2013,1001,9,53
2013,1001,10,37
2013,1002,1,50
2013,1002,2,69
2013,1002,3,60
2013,1002,4,68
2013,1002,5,96
2013,1002,6,108
2013,1002,7,97
2013,1002,8,102
2013,1002,9,113
2013,1002,10,96
2013,1003,1,137
2013,1003,2,124
2013,1003,3,87
2013,1003,4,103
2013,1003,5,103
2013,1003,6,144
2013,1003,7,125
2013,1003,8,127
2013,1003,9,142
2013,1003,10,161
2013,1004,1,111
2013,1004,2,101
2013,1004,3,86
2013,1004,4,102
2013,1004,5,119
2013,1004,6,110
2013,1004,7,97
2013,1004,8,115
2013,1004,9,89
2013,1004,10,82
2013,1005,1,79
2013,1005,2,78
2013,1005,3,68
2013,1005,4,67
2013,1005,5,69
2013,1005,6,71
2013,1005,7,84
2013,1005,8,100
2013,1005,9,95
2013,1005,10,135
2013,1006,1,87
2013,1006,2,76
2013,1006,3,87
2013,1006,4,108
2013,1006,5,84
2013,1006,6,96
2013,1006,7,99
2013,1006,8,82
2013,1006,9,69
2013,1006,10,64
2013,1101,1,26
2013,1101,2,36
2013,1101,3,41
2013,1101,4,34
2013,1101,5,36
2013,1101,6,52
2013,1101,7,43
2013,1101,8,37
2013,1101,9,45
2013,1101,10,57
2013,1102,1,135
2013,1102,2,129
2013,1102,3,109
2013,1102,4,111
2013,1102,5,137
2013,1102,6,141
2013,1102,7,130
2013,1102,8,159
2013,1102,9,157
2013,1102,10,168
2013,1103,1,107
2013,1103,2,97
2013,1103,3,129
2013,1103,4,103
2013,1103,5,113
2013,1103,6,114
2013,1103,7,135
2013,1103,8,123
2013,1103,9,121
2013,1103,10,158
2013,1104,1,104
2013,1104,2,79
2013,1104,3,79
2013,1104,4,85
2013,1104,5,95
2013,1104,6,107
2013,1104,7,97
2013,1104,8,105
2013,1104,9,112
2013,1104,10,115
2013,1201,1,72
2013,1201,2,72
2013,1201,3,67
2013,1201,4,69
2013,1201,5,74
2013,1201,6,87
2013,1201,7,96
2013,1201,8,80
2013,1201,9,104
2013,1201,10,95
2013,1202,1,125
2013,1202,2,137
2013,1202,3,115
2013,1202,4,129
2013,1202,5,115
2013,1202,6,127
2013,1202,7,172
2013,1202,8,131
2013,1202,9,152
2013,1202,10,87
2013,1203,1,68
2013,1203,2,58
2013,1203,3,73
2013,1203,4,76
2013,1203,5,66
2013,1203,6,73
2013,1203,7,91
2013,1203,8,109
2013,1203,9,78
2013,1203,10,63
2013,1204,1,99
2013,1204,2,96
2013,1204,3,101
2013,1204,4,85
2013,1204,5,95
2013,1204,6,105
2013,1204,7,99
2013,1204,8,109
2013,1204,9,108
2013,1204,10,74
2013,1205,1,55
2013,1205,2,53
2013,1205,3,45
2013,1205,4,51
2013,1205,5,49
2013,1205,6,52
2013,1205,7,80
2013,1205,8,79
2013,1205,9,69
2013,1205,10,96
2013,1206,1,85
2013,1206,2,75
2013,1206,3,65
2013,1206,4,61
2013,1206,5,60
2013,1206,6,71
2013,1206,7,74
2013,1206,8,73
2013,1206,9,92
2013,1206,10,81
2013,1301,1,71
2013,1301,2,64
2013,1301,3,57
2013,1301,4,69
2013,1301,5,99
2013,1301,6,92
2013,1301,7,111
2013,1301,8,102
2013,1301,9,115
2013,1301,10,90
2013,1302,1,83
2013,1302,2,107
2013,1302,3,110
2013,1302,4,114
2013,1302,5,119
2013,1302,6,91
2013,1302,7,122
2013,1302,8,112
2013,1302,9,105
2013,1302,10,76
2013,1303,1,66
2013,1303,2,53
2013,1303,3,48
2013,1303,4,67
2013,1303,5,64
2013,1303,6,71
2013,1303,7,72
2013,1303,8,91
2013,1303,9,89
2013,1303,10,86
2013,1304,1,17
2013,1304,2,27
2013,1304,3,26
2013,1304,4,25
2013,1304,5,19
2013,1304,6,19
2013,1304,7,17
2013,1304,8,29
2013,1304,9,30
2013,1304,10,30
2013,1305,1,37
2013,1305,2,37
2013,1305,3,46
2013,1305,4,41
2013,1305,5,56
2013,1305,6,36
2013,1305,7,38
2013,1305,8,23
2013,1305,9,33
2013,1305,10,19
2013,1401,1,47
2013,1401,2,65
2013,1401,3,72
2013,1401,4,97
2013,1401,5,90
2013,1401,6,80
2013,1401,7,71
2013,1401,8,93
2013,1401,9,69
2013,1401,10,39
2013,1402,1,34
2013,1402,2,33
2013,1402,3,29
2013,1402,4,29
2013,1402,5,34
2013,1402,6,32
2013,1402,7,36
2013,1402,8,43
2013,1402,9,41
2013,1402,10,43
2013,1403,1,35
2013,1403,2,45
2013,1403,3,46
2013,1403,4,42
2013,1403,5,58
2013,1403,6,57
2013,1403,7,52
2013,1403,8,60
2013,1403,9,51
2013,1403,10,34
2013,1404,1,43
2013,1404,2,45
2013,1404,3,50
2013,1404,4,63
2013,1404,5,66
2013,1404,6,66
2013,1404,7,39
2013,1404,8,49
2013,1404,9,44
2013,1404,10,29
2013,1501,1,98
2013,1501,2,92
2013,1501,3,100
2013,1501,4,91
2013,1501,5,94
2013,1501,6,105
2013,1501,7,85
2013,1501,8,92
2013,1501,9,92
2013,1501,10,61
2013,1502,1,66
2013,1502,2,74
2013,1502,3,104
2013,1502,4,103
2013,1502,5,81
2013,1502,6,99
2013,1502,7,82
2013,1502,8,110
2013,1502,9,80
2013,1502,10,62
2013,1503,1,104
2013,1503,2,103
2013,1503,3,84
2013,1503,4,97
2013,1503,5,97
2013,1503,6,96
2013,1503,7,97
2013,1503,8,115
2013,1503,9,100
2013,1503,10,108
2013,1504,1,73
2013,1504,2,88
2013,1504,3,84
2013,1504,4,77
2013,1504,5,92
2013,1504,6,94
2013,1504,7,93
2013,1504,8,98
2013,1504,9,84
2013,1504,10,62
2013,1601,1,54
2013,1601,2,56
2013,1601,3,46
2013,1601,4,47
2013,1601,5,42
2013,1601,6,55
2013,1601,7,75
2013,1601,8,70
2013,1601,9,81
2013,1601,10,78
2013,1602,1,104
2013,1602,2,99
2013,1602,3,92
2013,1602,4,84
2013,1602,5,79
2013,1602,6,90
2013,1602,7,98
2013,1602,8,125
2013,1602,9,128
2013,1602,10,148
2013,1603,1,158
2013,1603,2,153
2013,1603,3,137
2013,1603,4,110
2013,1603,5,139
2013,1603,6,121
2013,1603,7,119
2013,1603,8,135
2013,1603,9,179
2013,1603,10,190
2013,1701,1,59
2013,1701,2,63
2013,1701,3,54
2013,1701,4,55
2013,1701,5,50
2013,1701,6,54
2013,1701,7,52
2013,1701,8,66
2013,1701,9,73
2013,1701,10,51
2013,1702,1,50
2013,1702,2,44
2013,1702,3,43
2013,1702,4,47
2013,1702,5,53
2013,1702,6,59
2013,1702,7,56
2013,1702,8,47
2013,1702,9,54
2013,1702,10,52
2013,1703,1,53
2013,1703,2,51
2013,1703,3,53
2013,1703,4,62
2013,1703,5,57
2013,1703,6,53
2013,1703,7,49
2013,1703,8,63
2013,1703,9,47
2013,1703,10,44
2013,1704,1,62
2013,1704,2,72
2013,1704,3,61
2013,1704,4,83
2013,1704,5,80
2013,1704,6,75
2013,1704,7,82
2013,1704,8,79
2013,1704,9,88
2013,1704,10,64
2013,1705,1,91
2013,1705,2,109
2013,1705,3,85
2013,1705,4,77
2013,1705,5,95
2013,1705,6,111
2013,1705,7,85
2013,1705,8,102
2013,1705,9,94
2013,1705,10,100
2013,1706,1,78
2013,1706,2,97
2013,1706,3,99
2013,1706,4,93
2013,1706,5,124
2013,1706,6,94
2013,1706,7,107
2013,1706,8,88
2013,1706,9,88
2013,1706,10,62
2013,1801,1,50
2013,1801,2,75
2013,1801,3,56
2013,1801,4,60
2013,1801,5,47
2013,1801,6,61
2013,1801,7,46
2013,1801,8,71
2013,1801,9,78
2013,1801,10,100
2013,1802,1,72
