ar,smasvaedi,tekjutiund,fjoldi
2008,0603,8,41
2008,0603,9,48
2008,0603,10,75
2008,0604,1,73
2008,0604,2,67
2008,0604,3,78
2008,0604,4,62
2008,0604,5,64
2008,0604,6,81
2008,0604,7,84
2008,0604,8,82
2008,0604,9,76
2008,0604,10,85
2008,0605,1,57
2008,0605,2,45
2008,0605,3,55
2008,0605,4,46
2008,0605,5,52
2008,0605,6,51
2008,0605,7,54
2008,0605,8,40
2008,0605,9,60
2008,0605,10,87
2008,0606,1,68
2008,0606,2,70
2008,0606,3,56
2008,0606,4,76
2008,0606,5,79
2008,0606,6,84
2008,0606,7,88
2008,0606,8,100
2008,0606,9,73
2008,0606,10,76
2008,0701,1,70
2008,0701,2,73
2008,0701,3,50
2008,0701,4,46
2008,0701,5,63
2008,0701,6,65
2008,0701,7,78
2008,0701,8,78
2008,0701,9,90
2008,0701,10,121
2008,0702,1,59
2008,0702,2,41
2008,0702,3,30
2008,0702,4,37
2008,0702,5,43
2008,0702,6,43
2008,0702,7,68
2008,0702,8,59
2008,0702,9,73
2008,0702,10,151
2008,0703,1,68
2008,0703,2,50
2008,0703,3,64
2008,0703,4,64
2008,0703,5,59
2008,0703,6,74
2008,0703,7,76
2008,0703,8,75
2008,0703,9,102
2008,0703,10,79
2008,0704,1,88
2008,0704,2,81
2008,0704,3,63
2008,0704,4,77
2008,0704,5,96
2008,0704,6,105
2008,0704,7,74
2008,0704,8,103
2008,0704,9,124
2008,0704,10,149
2008,0705,1,87
2008,0705,2,69
2008,0705,3,60
2008,0705,4,60
2008,0705,5,57
2008,0705,6,103
2008,0705,7,76
2008,0705,8,104
2008,0705,9,139
2008,0705,10,190
2008,0706,1,151
2008,0706,2,119
2008,0706,3,124
2008,0706,4,113
2008,0706,5,138
2008,0706,6,135
2008,0706,7,139
2008,0706,8,156
2008,0706,9,136
2008,0706,10,153
2008,0707,1,44
2008,0707,2,52
2008,0707,3,49
2008,0707,4,48
2008,0707,5,63
2008,0707,6,60
2008,0707,7,67
2008,0707,8,65
2008,0707,9,60
2008,0707,10,50
2008,0708,1,84
2008,0708,2,75
2008,0708,3,77
2008,0708,4,84
2008,0708,5,95
2008,0708,6,100
2008,0708,7,107
2008,0708,8,103
2008,0708,9,104
2008,0708,10,102
2008,0801,1,75
2008,0801,2,88
2008,0801,3,82
2008,0801,4,118
2008,0801,5,116
2008,0801,6,96
2008,0801,7,87
2008,0801,8,73
2008,0801,9,60
2008,0801,10,27
2008,0802,1,33
2008,0802,2,61
2008,0802,3,53
2008,0802,4,72
2008,0802,5,75
2008,0802,6,74
2008,0802,7,56
2008,0802,8,71
2008,0802,9,71
2008,0802,10,39
2008,0803,1,95
2008,0803,2,125
2008,0803,3,146
2008,0803,4,152
2008,0803,5,157
2008,0803,6,151
2008,0803,7,136
2008,0803,8,100
2008,0803,9,65
2008,0803,10,35
2008,0804,1,119
2008,0804,2,135
2008,0804,3,126
2008,0804,4,154
2008,0804,5,148
2008,0804,6,177
2008,0804,7,144
2008,0804,8,123
2008,0804,9,98
2008,0804,10,78
2008,0805,1,89
2008,0805,2,72
2008,0805,3,64
2008,0805,4,88
2008,0805,5,90
2008,0805,6,76
2008,0805,7,86
2008,0805,8,80
2008,0805,9,61
2008,0805,10,48
2008,0806,1,98
2008,0806,2,97
2008,0806,3,101
2008,0806,4,126
2008,0806,5,139
2008,0806,6,113
2008,0806,7,132
2008,0806,8,131
2008,0806,9,90
2008,0806,10,51
2008,0807,1,65
2008,0807,2,76
2008,0807,3,74
2008,0807,4,114
2008,0807,5,97
2008,0807,6,101
2008,0807,7,93
2008,0807,8,90
2008,0807,9,65
2008,0807,10,40
2008,0901,1,113
2008,0901,2,117
2008,0901,3,100
2008,0901,4,122
2008,0901,5,129
2008,0901,6,109
2008,0901,7,126
2008,0901,8,126
2008,0901,9,126
2008,0901,10,163
2008,0902,1,73
2008,0902,2,73
2008,0902,3,66
2008,0902,4,64
2008,0902,5,84
2008,0902,6,73
2008,0902,7,71
2008,0902,8,75
2008,0902,9,82
2008,0902,10,133
2008,0903,1,101
2008,0903,2,84
2008,0903,3,70
2008,0903,4,93
2008,0903,5,131
2008,0903,6,89
2008,0903,7,123
2008,0903,8,113
2008,0903,9,82
2008,0903,10,59
2008,0904,1,98
2008,0904,2,99
2008,0904,3,76
2008,0904,4,67
2008,0904,5,101
2008,0904,6,84
2008,0904,7,105
2008,0904,8,99
2008,0904,9,97
2008,0904,10,113
2008,0905,1,52
2008,0905,2,54
2008,0905,3,61
2008,0905,4,68
2008,0905,5,65
2008,0905,6,53
2008,0905,7,59
2008,0905,8,61
2008,0905,9,79
2008,0905,10,61
2008,1001,1,22
2008,1001,2,30
2008,1001,3,14
2008,1001,4,31
2008,1001,5,31
2008,1001,6,36
2008,1001,7,30
2008,1001,8,40
2008,1001,9,37
2008,1001,10,28
2008,1002,1,62
2008,1002,2,49
2008,1002,3,52
2008,1002,4,44
2008,1002,5,53
2008,1002,6,69
2008,1002,7,92
2008,1002,8,78
2008,1002,9,114
2008,1002,10,69
2008,1003,1,172
2008,1003,2,116
2008,1003,3,112
2008,1003,4,101
2008,1003,5,122
2008,1003,6,154
2008,1003,7,139
2008,1003,8,142
2008,1003,9,165
2008,1003,10,190
2008,1004,1,102
2008,1004,2,86
2008,1004,3,92
2008,1004,4,121
2008,1004,5,124
2008,1004,6,125
2008,1004,7,107
2008,1004,8,111
2008,1004,9,113
2008,1004,10,95
2008,1005,1,89
2008,1005,2,73
2008,1005,3,84
2008,1005,4,63
2008,1005,5,84
2008,1005,6,75
2008,1005,7,89
2008,1005,8,105
2008,1005,9,100
2008,1005,10,136
2008,1006,1,77
2008,1006,2,91
2008,1006,3,88
2008,1006,4,107
2008,1006,5,113
2008,1006,6,121
2008,1006,7,106
2008,1006,8,109
2008,1006,9,83
2008,1006,10,65
2008,1101,1,34
2008,1101,2,41
2008,1101,3,52
2008,1101,4,30
2008,1101,5,42
2008,1101,6,44
2008,1101,7,45
2008,1101,8,40
2008,1101,9,47
2008,1101,10,64
2008,1102,1,168
2008,1102,2,103
2008,1102,3,110
2008,1102,4,131
2008,1102,5,151
2008,1102,6,131
2008,1102,7,150
2008,1102,8,130
2008,1102,9,189
2008,1102,10,206
2008,1103,1,128
2008,1103,2,115
2008,1103,3,111
2008,1103,4,115
2008,1103,5,136
2008,1103,6,129
2008,1103,7,132
2008,1103,8,149
2008,1103,9,143
2008,1103,10,188
2008,1104,1,122
2008,1104,2,84
2008,1104,3,87
2008,1104,4,75
2008,1104,5,99
2008,1104,6,109
2008,1104,7,107
2008,1104,8,106
2008,1104,9,126
2008,1104,10,139
2008,1201,1,90
2008,1201,2,63
2008,1201,3,83
2008,1201,4,89
2008,1201,5,108
2008,1201,6,93
2008,1201,7,94
2008,1201,8,107
2008,1201,9,92
2008,1201,10,114
2008,1202,1,128
2008,1202,2,129
2008,1202,3,97
2008,1202,4,129
2008,1202,5,153
2008,1202,6,129
2008,1202,7,160
2008,1202,8,173
2008,1202,9,168
2008,1202,10,115
2008,1203,1,74
2008,1203,2,46
2008,1203,3,60
2008,1203,4,60
2008,1203,5,68
2008,1203,6,86
2008,1203,7,77
2008,1203,8,90
2008,1203,9,97
2008,1203,10,67
2008,1204,1,117
2008,1204,2,84
2008,1204,3,106
2008,1204,4,102
2008,1204,5,111
2008,1204,6,109
2008,1204,7,122
2008,1204,8,141
2008,1204,9,116
2008,1204,10,88
2008,1205,1,51
2008,1205,2,30
2008,1205,3,48
2008,1205,4,65
2008,1205,5,53
2008,1205,6,68
2008,1205,7,78
2008,1205,8,79
2008,1205,9,72
2008,1205,10,99
2008,1206,1,78
2008,1206,2,47
2008,1206,3,63
2008,1206,4,77
2008,1206,5,55
2008,1206,6,71
2008,1206,7,81
2008,1206,8,86
2008,1206,9,100
2008,1206,10,97
2008,1301,1,76
2008,1301,2,69
2008,1301,3,73
2008,1301,4,85
2008,1301,5,83
2008,1301,6,106
2008,1301,7,96
2008,1301,8,126
2008,1301,9,113
2008,1301,10,112
2008,1302,1,91
2008,1302,2,97
2008,1302,3,100
2008,1302,4,82
2008,1302,5,109
2008,1302,6,118
2008,1302,7,125
2008,1302,8,130
2008,1302,9,120
2008,1302,10,104
2008,1303,1,51
2008,1303,2,46
2008,1303,3,62
2008,1303,4,67
2008,1303,5,75
2008,1303,6,61
2008,1303,7,89
2008,1303,8,72
2008,1303,9,90
2008,1303,10,137
2008,1304,1,2
2008,1304,2,3
2008,1304,3,1
2008,1304,4,2
2008,1304,5,2
2008,1304,6,1
2008,1304,9,1
2008,1304,10,2
2008,1305,1,34
2008,1305,2,37
2008,1305,3,64
2008,1305,4,63
2008,1305,5,54
2008,1305,6,53
2008,1305,7,47
2008,1305,8,36
2008,1305,9,30
2008,1305,10,34
2008,1401,1,34
2008,1401,2,37
2008,1401,3,53
2008,1401,4,60
2008,1401,5,63
2008,1401,6,48
2008,1401,7,53
2008,1401,8,67
2008,1401,9,48
2008,1401,10,24
2008,1402,1,19
2008,1402,2,25
2008,1402,3,19
2008,1402,4,20
2008,1402,5,22
2008,1402,6,25
2008,1402,7,18
2008,1402,8,28
2008,1402,9,23
2008,1402,10,33
2008,1403,1,43
2008,1403,2,49
2008,1403,3,57
2008,1403,4,73
2008,1403,5,60
2008,1403,6,53
2008,1403,7,62
2008,1403,8,63
2008,1403,9,54
2008,1403,10,37
2008,1404,1,34
2008,1404,2,28
2008,1404,3,46
2008,1404,4,62
2008,1404,5,63
2008,1404,6,44
2008,1404,7,41
2008,1404,8,48
2008,1404,9,65
2008,1404,10,26
2008,1501,1,113
2008,1501,2,104
2008,1501,3,98
2008,1501,4,94
2008,1501,5,119
2008,1501,6,109
2008,1501,7,119
2008,1501,8,117
2008,1501,9,103
2008,1501,10,79
2008,1502,1,74
2008,1502,2,82
2008,1502,3,97
2008,1502,4,83
2008,1502,5,96
2008,1502,6,85
2008,1502,7,88
2008,1502,8,101
2008,1502,9,93
2008,1502,10,48
2008,1503,1,123
2008,1503,2,122
2008,1503,3,100
2008,1503,4,97
2008,1503,5,121
2008,1503,6,121
2008,1503,7,110
2008,1503,8,118
2008,1503,9,119
2008,1503,10,129
2008,1504,1,91
2008,1504,2,118
2008,1504,3,94
2008,1504,4,107
2008,1504,5,123
2008,1504,6,116
2008,1504,7,97
2008,1504,8,106
2008,1504,9,94
2008,1504,10,68
2008,1601,1,35
2008,1601,2,15
2008,1601,3,28
2008,1601,4,31
2008,1601,5,33
2008,1601,6,25
2008,1601,7,22
2008,1601,8,31
2008,1601,9,32
2008,1601,10,30
2008,1602,1,97
2008,1602,2,114
2008,1602,3,95
2008,1602,4,89
2008,1602,5,111
2008,1602,6,79
2008,1602,7,119
2008,1602,8,129
2008,1602,9,147
2008,1602,10,187
2008,1603,1,180
2008,1603,2,138
2008,1603,3,131
2008,1603,4,132
2008,1603,5,150
2008,1603,6,154
2008,1603,7,133
2008,1603,8,182
2008,1603,9,164
2008,1603,10,241
2008,1701,1,43
2008,1701,2,52
2008,1701,3,50
2008,1701,4,44
2008,1701,5,30
2008,1701,6,40
2008,1701,7,41
2008,1701,8,56
2008,1701,9,41
2008,1701,10,36
2008,1702,1,50
2008,1702,2,57
2008,1702,3,53
2008,1702,4,59
2008,1702,5,59
2008,1702,6,48
2008,1702,7,45
2008,1702,8,59
2008,1702,9,63
2008,1702,10,76
2008,1703,1,51
2008,1703,2,70
2008,1703,3,37
2008,1703,4,52
2008,1703,5,65
2008,1703,6,86
2008,1703,7,63
2008,1703,8,74
2008,1703,9,63
2008,1703,10,58
2008,1704,1,69
2008,1704,2,90
2008,1704,3,62
2008,1704,4,74
2008,1704,5,91
2008,1704,6,80
2008,1704,7,94
2008,1704,8,92
2008,1704,9,82
2008,1704,10,77
2008,1705,1,104
2008,1705,2,102
2008,1705,3,121
2008,1705,4,96
2008,1705,5,103
2008,1705,6,107
2008,1705,7,100
2008,1705,8,130
2008,1705,9,112
2008,1705,10,118
2008,1706,1,88
2008,1706,2,112
2008,1706,3,147
2008,1706,4,97
2008,1706,5,113
2008,1706,6,119
2008,1706,7,110
2008,1706,8,100
2008,1706,9,81
2008,1706,10,57
2008,1801,1,69
2008,1801,2,63
2008,1801,3,47
2008,1801,4,49
