ar,smasvaedi,fjoldi
2009,3504,1334
2009,3601,1030
2009,3602,965
2009,3603,1040
2009,3701,601
2009,3702,760
2009,3703,806
2009,3704,549
2009,3801,351
2009,3802,353
2009,3803,665
2009,3804,827
2009,3901,903
2009,3902,828
2009,3903,1046
2009,3904,851
2009,4001,606
2009,4002,1156
2009,4003,547
2009,4101,749
2009,4102,1414
2009,4103,649
2009,4201,840
2009,4202,552
2009,4203,589
2009,4204,591
2010,0101,652
2010,0102,512
2010,0103,604
2010,0104,460
2010,0201,459
2010,0202,666
2010,0203,714
2010,0204,661
2010,0205,589
2010,0206,771
2010,0207,367
2010,0208,696
2010,0301,1010
2010,0302,1141
2010,0303,675
2010,0304,931
2010,0401,1063
2010,0402,1058
2010,0403,592
2010,0404,934
2010,0405,878
2010,0501,684
2010,0502,690
2010,0503,591
2010,0504,548
2010,0601,1011
2010,0602,784
2010,0603,395
2010,0604,655
2010,0605,493
2010,0606,686
2010,0701,679
2010,0702,562
2010,0703,645
2010,0704,892
2010,0705,897
2010,0706,1235
2010,0707,534
2010,0708,825
2010,0801,643
2010,0802,562
2010,0803,945
2010,0804,1163
2010,0805,667
2010,0806,928
2010,0807,706
2010,0901,1108
2010,0902,690
2010,0903,808
2010,0904,836
2010,0905,546
2010,1001,334
2010,1002,760
2010,1003,1238
2010,1004,957
2010,1005,857
2010,1006,826
2010,1101,412
2010,1102,1359
2010,1103,1209
2010,1104,970
2010,1201,842
2010,1202,1255
2010,1203,692
2010,1204,970
2010,1205,600
2010,1206,690
2010,1301,801
2010,1302,975
2010,1303,662
2010,1304,101
2010,1305,350
2010,1401,563
2010,1402,307
2010,1403,467
2010,1404,453
2010,1501,896
2010,1502,820
2010,1503,1014
2010,1504,881
2010,1601,437
2010,1602,995
2010,1603,1421
2010,1701,443
2010,1702,512
2010,1703,547
2010,1704,689
2010,1705,967
2010,1706,832
2010,1801,614
2010,1802,451
2010,1803,81
2010,1804,564
2010,1805,612
2010,1806,371
2010,1807,768
2010,1808,1027
2010,1809,660
2010,1810,387
2010,1811,683
2010,1901,786
2010,1902,308
2010,1903,240
2010,1904,730
2010,2001,758
2010,2002,258
2010,2003,470
2010,2004,1072
2010,2005,822
2010,2006,1068
2010,2007,926
2010,2008,381
2010,2101,914
2010,2102,339
2010,2103,599
2010,2104,865
2010,2105,487
2010,2106,867
2010,2201,704
2010,2202,321
2010,2203,227
2010,2204,666
2010,2205,606
2010,2301,827
2010,2302,484
2010,2303,795
2010,2401,736
2010,2402,953
2010,2403,998
2010,2404,672
2010,2405,238
2010,2406,558
2010,2407,111
2010,2501,1018
2010,2502,376
2010,2503,764
2010,2504,806
2010,2601,912
2010,2602,1202
2010,2701,523
2010,2702,649
2010,2703,977
2010,2704,711
2010,2705,685
2010,2801,748
2010,2802,595
2010,2803,976
2010,2804,971
2010,2901,1015
2010,2902,512
2010,2903,642
2010,2904,1303
2010,3001,150
2010,3002,178
2010,3003,645
2010,3004,442
2010,3005,519
2010,3006,467
2010,3101,940
2010,3102,348
2010,3103,757
2010,3104,669
2010,3105,488
2010,3201,463
2010,3202,736
2010,3203,646
2010,3204,1078
2010,3205,255
2010,3301,668
2010,3302,880
2010,3303,631
2010,3304,1022
2010,3305,1087
2010,3401,1036
2010,3402,576
2010,3403,1525
2010,3404,495
2010,3501,469
2010,3502,796
2010,3503,660
2010,3504,1299
2010,3601,977
2010,3602,968
2010,3603,1034
2010,3701,588
2010,3702,766
2010,3703,777
2010,3704,538
2010,3801,374
2010,3802,379
2010,3803,637
2010,3804,796
2010,3901,856
2010,3902,775
2010,3903,1009
2010,3904,816
2010,4001,573
2010,4002,1137
2010,4003,545
2010,4101,714
2010,4102,1364
2010,4103,572
2010,4201,835
2010,4202,535
2010,4203,600
2010,4204,563
2011,0101,668
2011,0102,494
2011,0103,605
2011,0104,485
2011,0201,445
2011,0202,682
2011,0203,730
2011,0204,651
2011,0205,577
2011,0206,788
2011,0207,383
2011,0208,685
2011,0301,998
2011,0302,1174
2011,0303,702
2011,0304,923
2011,0401,1039
2011,0402,1076
2011,0403,601
2011,0404,957
2011,0405,886
2011,0501,678
2011,0502,695
2011,0503,575
2011,0504,550
2011,0601,996
2011,0602,817
2011,0603,369
2011,0604,652
2011,0605,481
2011,0606,697
2011,0701,707
2011,0702,579
2011,0703,648
2011,0704,895
2011,0705,895
2011,0706,1192
2011,0707,517
2011,0708,868
2011,0801,634
2011,0802,555
2011,0803,903
2011,0804,1136
2011,0805,678
2011,0806,880
2011,0807,687
2011,0901,1091
2011,0902,655
2011,0903,818
2011,0904,815
2011,0905,505
2011,1001,340
2011,1002,781
2011,1003,1249
2011,1004,977
2011,1005,858
2011,1006,832
2011,1101,396
2011,1102,1350
2011,1103,1193
2011,1104,950
2011,1201,820
2011,1202,1254
2011,1203,696
2011,1204,966
2011,1205,615
2011,1206,702
2011,1301,812
2011,1302,944
2011,1303,666
2011,1304,134
2011,1305,357
2011,1401,603
2011,1402,305
2011,1403,466
2011,1404,467
2011,1501,909
2011,1502,839
2011,1503,1019
2011,1504,848
2011,1601,464
2011,1602,993
2011,1603,1414
2011,1701,461
2011,1702,486
2011,1703,523
2011,1704,701
2011,1705,963
2011,1706,840
2011,1801,618
2011,1802,464
2011,1803,79
2011,1804,589
2011,1805,633
2011,1806,378
2011,1807,757
2011,1808,1002
2011,1809,690
2011,1810,402
2011,1811,747
2011,1901,803
2011,1902,318
2011,1903,253
2011,1904,741
2011,2001,760
2011,2002,296
2011,2003,461
2011,2004,1068
2011,2005,814
2011,2006,1067
2011,2007,922
2011,2008,394
2011,2101,884
2011,2102,325
2011,2103,602
2011,2104,880
2011,2105,477
2011,2106,862
2011,2201,765
2011,2202,367
2011,2203,280
2011,2204,687
2011,2205,622
2011,2301,824
2011,2302,467
2011,2303,791
2011,2401,784
2011,2402,948
2011,2403,986
2011,2404,662
2011,2405,225
2011,2406,560
2011,2407,132
2011,2501,1018
2011,2502,376
2011,2503,775
2011,2504,796
2011,2601,908
2011,2602,1209
2011,2701,541
2011,2702,649
2011,2703,953
2011,2704,677
2011,2705,698
2011,2801,791
2011,2802,588
2011,2803,957
2011,2804,896
2011,2901,1023
2011,2902,513
2011,2903,637
2011,2904,1247
2011,3001,143
2011,3002,176
2011,3003,653
2011,3004,444
2011,3005,516
2011,3006,459
2011,3101,933
2011,3102,357
2011,3103,705
2011,3104,631
2011,3105,460
2011,3201,450
2011,3202,735
2011,3203,613
2011,3204,1064
2011,3205,307
2011,3301,644
2011,3302,890
2011,3303,626
2011,3304,1018
2011,3305,1062
2011,3401,995
2011,3402,531
2011,3403,1469
2011,3404,454
2011,3501,485
2011,3502,803
2011,3503,639
2011,3504,1323
2011,3601,939
2011,3602,962
2011,3603,1069
2011,3701,595
2011,3702,752
2011,3703,773
2011,3704,515
2011,3801,426
2011,3802,399
2011,3803,626
2011,3804,797
2011,3901,863
2011,3902,781
2011,3903,1025
2011,3904,816
2011,4001,579
2011,4002,1126
2011,4003,542
2011,4101,709
2011,4102,1385
2011,4103,552
2011,4201,811
2011,4202,536
2011,4203,617
2011,4204,547
2012,0101,674
2012,0102,490
2012,0103,634
2012,0104,470
2012,0201,452
2012,0202,716
2012,0203,757
2012,0204,650
2012,0205,578
2012,0206,797
2012,0207,398
2012,0208,696
2012,0301,1015
2012,0302,1159
2012,0303,671
2012,0304,923
2012,0401,1052
2012,0402,1105
2012,0403,566
2012,0404,1008
2012,0405,845
2012,0501,694
2012,0502,713
2012,0503,585
2012,0504,567
2012,0601,1054
2012,0602,801
2012,0603,375
2012,0604,672
2012,0605,502
2012,0606,691
2012,0701,737
2012,0702,579
2012,0703,672
2012,0704,907
2012,0705,873
2012,0706,1233
2012,0707,526
2012,0708,884
2012,0801,651
2012,0802,552
2012,0803,890
2012,0804,1141
2012,0805,679
2012,0806,887
2012,0807,682
2012,0901,1074
2012,0902,674
2012,0903,809
2012,0904,835
2012,0905,518
2012,1001,385
2012,1002,813
2012,1003,1268
2012,1004,990
2012,1005,847
