ar,smasvaedi,kyn,aldursflokkur,fjoldi
2014,3902,1,15-19 ára,63
2014,0103,1,15-19 ára,30
2017,3401,2,15-19 ára,66
2018,3301,1,15-19 ára,55
2018,0801,1,15-19 ára,39
2024,2103,1,15-19 ára,65
2018,1802,2,15-19 ára,55
2023,0205,1,15-19 ára,35
2015,0204,1,15-19 ára,45
2024,2007,2,15-19 ára,51
2019,3004,1,15-19 ára,63
2022,0104,2,15-19 ára,28
2012,1002,1,15-19 ára,58
2023,4003,2,15-19 ára,39
2023,2501,1,15-19 ára,63
2024,0803,2,15-19 ára,74
2011,3704,1,15-19 ára,52
2017,2001,1,15-19 ára,59
2017,0603,1,15-19 ára,30
2024,2004,2,15-19 ára,71
2011,3403,2,15-19 ára,124
2009,0701,2,15-19 ára,51
2009,1104,1,15-19 ára,122
2013,1806,1,15-19 ára,35
2009,1104,2,15-19 ára,105
2014,0504,2,15-19 ára,30
2014,3603,2,15-19 ára,93
2008,2901,1,15-19 ára,108
2011,2501,1,15-19 ára,108
2008,3802,1,15-19 ára,17
2017,3404,1,15-19 ára,32
2019,4202,2,15-19 ára,30
2016,3001,1,15-19 ára,29
2010,2404,2,15-19 ára,62
2010,4203,2,15-19 ára,36
2009,0402,1,15-19 ára,90
2020,1203,2,15-19 ára,52
2021,0102,2,15-19 ára,37
2020,0206,1,15-19 ára,49
2024,3704,1,15-19 ára,34
2011,3901,2,15-19 ára,67
2011,0708,1,15-19 ára,75
2024,1502,2,15-19 ára,57
2022,1203,2,15-19 ára,56
2021,1501,1,15-19 ára,57
2018,3301,2,15-19 ára,44
2014,4002,2,15-19 ára,79
2016,1001,1,15-19 ára,26
2022,0703,1,15-19 ára,57
2014,2903,2,15-19 ára,42
2019,2502,1,15-19 ára,26
2024,3903,1,15-19 ára,68
2021,2901,1,15-19 ára,120
2021,4201,2,15-19 ára,42
2022,2404,1,15-19 ára,71
2021,1203,2,15-19 ára,51
2015,2103,1,15-19 ára,48
2016,3504,1,15-19 ára,87
2014,0702,1,15-19 ára,32
2008,3701,2,15-19 ára,69
2016,0702,2,15-19 ára,47
2018,3104,2,15-19 ára,45
2008,3904,2,15-19 ára,69
2009,4203,2,15-19 ára,41
2009,3704,1,15-19 ára,46
2009,0902,2,15-19 ára,51
2016,0403,2,15-19 ára,21
2008,1203,2,15-19 ára,54
2021,3404,1,15-19 ára,35
2008,0803,1,15-19 ára,87
2008,1304,2,15-19 ára,3
2015,3501,1,15-19 ára,44
2020,2701,1,15-19 ára,41
2014,0201,2,15-19 ára,38
2022,0903,2,15-19 ára,51
2021,1301,2,15-19 ára,54
2022,2303,1,15-19 ára,64
2010,0705,1,15-19 ára,80
2014,3004,2,15-19 ára,44
2013,0101,2,15-19 ára,45
2010,0202,2,15-19 ára,38
2013,2503,2,15-19 ára,54
2018,0207,1,15-19 ára,24
2012,3503,1,15-19 ára,64
2024,0704,1,15-19 ára,72
2014,2302,2,15-19 ára,34
2014,3901,2,15-19 ára,76
2021,2403,2,15-19 ára,68
2010,0901,2,15-19 ára,105
2018,2004,1,15-19 ára,82
2024,0702,2,15-19 ára,33
2022,2903,2,15-19 ára,42
2015,1203,2,15-19 ára,52
2024,3005,1,15-19 ára,54
2023,2405,2,15-19 ára,47
2008,4101,1,15-19 ára,67
2022,2105,2,15-19 ára,24
2008,0201,1,15-19 ára,34
2016,2803,2,15-19 ára,85
2016,2801,2,15-19 ára,82
2016,0703,2,15-19 ára,54
2016,3501,1,15-19 ára,39
2015,2205,2,15-19 ára,37
2017,4102,1,15-19 ára,104
2008,3502,2,15-19 ára,64
2012,2702,2,15-19 ára,54
2011,3303,1,15-19 ára,68
2018,3602,2,15-19 ára,73
2015,2703,2,15-19 ára,85
2012,1804,2,15-19 ára,53
2012,0801,2,15-19 ára,47
2012,1303,1,15-19 ára,43
2022,2407,1,15-19 ára,59
2019,2903,1,15-19 ára,40
2010,3201,1,15-19 ára,36
2023,0503,2,15-19 ára,54
2020,0805,1,15-19 ára,40
2020,0605,1,15-19 ára,32
2016,3503,2,15-19 ára,60
2022,1003,1,15-19 ára,90
2019,1203,1,15-19 ára,53
2024,1805,1,15-19 ára,59
2021,4103,1,15-19 ára,28
2022,2502,2,15-19 ára,31
2017,1304,1,15-19 ára,43
2020,1204,2,15-19 ára,54
2016,0208,1,15-19 ára,27
2016,1301,2,15-19 ára,67
2013,3002,2,15-19 ára,22
2015,2008,1,15-19 ára,34
2022,1201,1,15-19 ára,54
2011,0202,1,15-19 ára,33
2018,2403,1,15-19 ára,83
2014,1703,2,15-19 ára,37
2010,0601,1,15-19 ára,76
2017,1801,2,15-19 ára,50
2018,2705,1,15-19 ára,56
2010,0404,1,15-19 ára,46
2013,1403,2,15-19 ára,37
2021,1402,1,15-19 ára,66
2010,2601,2,15-19 ára,75
2013,2004,2,15-19 ára,93
2022,2803,1,15-19 ára,78
2023,2501,2,15-19 ára,65
2011,2401,2,15-19 ára,68
2011,0206,1,15-19 ára,66
2023,1201,2,15-19 ára,48
2022,2006,1,15-19 ára,55
2010,3104,2,15-19 ára,54
2008,0901,1,15-19 ára,84
2013,0905,1,15-19 ára,43
2011,1104,2,15-19 ára,103
2012,1302,2,15-19 ára,54
2011,4001,1,15-19 ára,47
2012,2103,2,15-19 ára,40
2010,3704,2,15-19 ára,46
2008,3301,2,15-19 ára,65
2012,0207,1,15-19 ára,26
2024,3401,1,15-19 ára,52
2009,3903,1,15-19 ára,102
2024,0604,1,15-19 ára,96
2015,3305,1,15-19 ára,69
2015,1807,1,15-19 ára,73
2016,2205,2,15-19 ára,38
2019,3002,2,15-19 ára,33
2017,0805,2,15-19 ára,44
2011,1103,2,15-19 ára,93
2017,1501,1,15-19 ára,88
2008,2804,2,15-19 ára,72
2023,3402,2,15-19 ára,37
2020,0807,2,15-19 ára,34
2009,1810,2,15-19 ára,31
2011,0707,2,15-19 ára,44
2021,3402,2,15-19 ára,41
2024,2602,2,15-19 ára,57
2022,0501,1,15-19 ára,33
2011,1706,2,15-19 ára,62
2024,1103,2,15-19 ára,78
2019,1204,2,15-19 ára,51
2010,2301,2,15-19 ára,75
2018,3404,2,15-19 ára,23
2015,1503,2,15-19 ára,83
2015,1301,1,15-19 ára,55
2009,1802,1,15-19 ára,47
2009,1807,1,15-19 ára,64
2015,1803,2,15-19 ára,9
2008,3403,2,15-19 ára,114
2013,4001,2,15-19 ára,57
2016,0905,1,15-19 ára,41
2015,2405,2,15-19 ára,18
2010,1402,2,15-19 ára,25
2022,3101,1,15-19 ára,76
2022,1003,2,15-19 ára,80
2016,2303,2,15-19 ára,46
2024,2501,2,15-19 ára,66
2024,0206,1,15-19 ára,55
2023,2103,1,15-19 ára,56
2022,3404,1,15-19 ára,30
2013,2303,1,15-19 ára,64
2024,1503,1,15-19 ára,83
2021,0304,2,15-19 ára,34
2018,4204,1,15-19 ára,29
2008,2103,1,15-19 ára,31
2019,2004,1,15-19 ára,77
2011,4201,1,15-19 ára,50
2011,3104,1,15-19 ára,56
2010,1902,1,15-19 ára,27
2022,2702,2,15-19 ára,72
2020,0701,1,15-19 ára,39
2020,3903,2,15-19 ára,79
2012,0202,2,15-19 ára,32
2015,1806,1,15-19 ára,23
2012,2007,2,15-19 ára,68
2015,1503,1,15-19 ára,81
2020,1004,1,15-19 ára,63
2018,4203,1,15-19 ára,35
2016,2101,2,15-19 ára,52
2023,3601,1,15-19 ára,45
2017,1803,1,15-19 ára,7
2014,0707,1,15-19 ára,29
2021,1101,1,15-19 ára,25
2021,4203,2,15-19 ára,37
2015,3205,2,15-19 ára,24
2016,0807,2,15-19 ára,39
2015,2803,1,15-19 ára,83
2011,1402,1,15-19 ára,31
2016,0402,1,15-19 ára,80
2015,1206,1,15-19 ára,87
2015,1803,1,15-19 ára,7
2015,2004,2,15-19 ára,81
2018,3003,2,15-19 ára,49
2024,0902,2,15-19 ára,47
2008,0501,1,15-19 ára,31
2014,1202,1,15-19 ára,113
2013,3105,2,15-19 ára,49
2012,2602,2,15-19 ára,97
2023,1201,1,15-19 ára,57
2016,2406,2,15-19 ára,45
2014,2403,1,15-19 ára,68
2010,1402,1,15-19 ára,28
2023,2104,2,15-19 ára,80
2014,0303,2,15-19 ára,25
2009,1807,2,15-19 ára,58
2021,1203,1,15-19 ára,66
2023,1904,1,15-19 ára,47
2019,0403,1,15-19 ára,29
2014,1102,1,15-19 ára,99
2022,0208,2,15-19 ára,30
2008,2701,2,15-19 ára,31
2024,0405,2,15-19 ára,58
2024,3305,2,15-19 ára,49
2020,1809,2,15-19 ára,79
2021,0806,1,15-19 ára,58
2018,0703,1,15-19 ára,50
2013,3704,2,15-19 ára,41
2021,1002,1,15-19 ára,68
2018,1805,2,15-19 ára,50
2024,2102,2,15-19 ára,32
2012,1002,2,15-19 ára,50
2011,3005,2,15-19 ára,39
2011,0801,1,15-19 ára,30
2011,3704,2,15-19 ára,45
2016,1808,1,15-19 ára,66
2017,1602,2,15-19 ára,93
2008,2602,1,15-19 ára,103
2013,1301,2,15-19 ára,43
2019,0604,2,15-19 ára,49
2023,0903,1,15-19 ára,49
2024,0103,2,15-19 ára,45
2014,2005,2,15-19 ára,54
2022,2101,1,15-19 ára,61
2015,2001,1,15-19 ára,59
2021,3701,2,15-19 ára,49
2023,0703,1,15-19 ára,61
2018,3701,1,15-19 ára,50
2021,2501,1,15-19 ára,57
2017,0604,1,15-19 ára,50
2015,4201,2,15-19 ára,58
2021,3105,2,15-19 ára,40
2022,3103,1,15-19 ára,62
2010,0204,1,15-19 ára,59
2019,1004,2,15-19 ára,71
2009,1101,1,15-19 ára,25
2008,1810,2,15-19 ára,43
2021,0302,1,15-19 ára,41
2023,0603,1,15-19 ára,34
2021,3006,2,15-19 ára,41
2018,1006,2,15-19 ára,59
2023,3203,2,15-19 ára,26
2013,0604,1,15-19 ára,52
2024,1702,1,15-19 ára,34
2019,0605,2,15-19 ára,33
2019,0805,2,15-19 ára,39
2017,1501,2,15-19 ára,56
2009,0903,1,15-19 ára,77
2022,2903,1,15-19 ára,56
2021,0802,2,15-19 ára,33
2023,0203,1,15-19 ára,60
2018,1203,1,15-19 ára,49
2022,4102,2,15-19 ára,92
2023,0101,2,15-19 ára,39
2019,0502,2,15-19 ára,46
2019,2501,1,15-19 ára,79
2024,2301,1,15-19 ára,59
2014,2202,1,15-19 ára,34
2011,2602,2,15-19 ára,109
2014,3804,1,15-19 ára,72
2021,3005,2,15-19 ára,66
2014,0501,1,15-19 ára,27
2012,1706,2,15-19 ára,61
2012,3904,1,15-19 ára,66
2011,3804,2,15-19 ára,63
2012,3201,1,15-19 ára,44
2011,3301,1,15-19 ára,75
2011,2202,2,15-19 ára,27
2013,1501,1,15-19 ára,93
2020,2407,1,15-19 ára,53
2015,0205,1,15-19 ára,35
2015,1201,2,15-19 ára,76
2011,3103,1,15-19 ára,63
2014,0704,1,15-19 ára,59
2022,2302,2,15-19 ára,31
2010,4001,2,15-19 ára,54
2008,2103,2,15-19 ára,33
2024,3703,1,15-19 ára,54
2023,1701,2,15-19 ára,24
2008,3503,2,15-19 ára,73
2015,0201,2,15-19 ára,38
2013,0403,2,15-19 ára,23
2022,3302,2,15-19 ára,57
2020,1603,1,15-19 ára,109
2021,0805,2,15-19 ára,45
2016,0202,2,15-19 ára,29
2018,0706,2,15-19 ára,99
2017,0402,2,15-19 ára,64
2017,1302,1,15-19 ára,51
2009,1701,2,15-19 ára,43
2021,0606,2,15-19 ára,40
2022,0504,1,15-19 ára,41
2013,2104,2,15-19 ára,80
2013,4202,1,15-19 ára,39
2020,1102,2,15-19 ára,76
2021,1404,2,15-19 ára,33
2008,1102,2,15-19 ára,121
2018,0606,1,15-19 ára,42
2017,2103,1,15-19 ára,62
2018,2804,2,15-19 ára,78
2013,2903,2,15-19 ára,45
2009,2903,1,15-19 ára,70
2021,0402,1,15-19 ára,73
2021,0904,2,15-19 ára,62
2009,3003,1,15-19 ára,71
2013,2701,2,15-19 ára,45
2022,3404,2,15-19 ára,25
2010,3001,1,15-19 ára,13
2021,0203,2,15-19 ára,52
2022,1305,2,15-19 ára,37
2014,1203,2,15-19 ára,54
2014,3104,1,15-19 ára,51
2009,2401,1,15-19 ára,67
2023,2402,2,15-19 ára,67
2023,0603,2,15-19 ára,40
2019,0203,2,15-19 ára,45
2010,0704,2,15-19 ára,63
2008,0601,1,15-19 ára,66
2015,1702,2,15-19 ára,40
2012,1206,1,15-19 ára,93
2013,4102,1,15-19 ára,99
2024,0606,1,15-19 ára,60
2009,2504,2,15-19 ára,73
2017,0301,1,15-19 ára,56
2012,3404,2,15-19 ára,35
2020,2103,1,15-19 ára,64
2017,1503,1,15-19 ára,82
2009,3301,2,15-19 ára,67
2010,0103,2,15-19 ára,37
2009,1501,2,15-19 ára,94
2023,1204,1,15-19 ára,62
2016,1504,2,15-19 ára,70
2022,0504,2,15-19 ára,36
2010,1001,1,15-19 ára,19
2020,3202,1,15-19 ára,54
2018,0704,2,15-19 ára,51
2015,2103,2,15-19 ára,47
2008,2902,1,15-19 ára,41
2008,3401,2,15-19 ára,102
2024,0202,1,15-19 ára,35
2009,1403,2,15-19 ára,35
2009,0501,1,15-19 ára,21
2013,2301,2,15-19 ára,77
2016,2501,1,15-19 ára,85
2017,3804,2,15-19 ára,79
2009,0103,2,15-19 ára,32
2014,2205,2,15-19 ára,35
2011,2104,2,15-19 ára,68
2011,3101,2,15-19 ára,73
2015,0702,2,15-19 ára,49
2017,2202,2,15-19 ára,62
2021,0706,2,15-19 ára,79
2016,3802,2,15-19 ára,33
2012,2205,2,15-19 ára,31
2018,2002,1,15-19 ára,26
2021,3602,2,15-19 ára,50
2009,2204,1,15-19 ára,29
2023,0807,1,15-19 ára,35
2012,1904,2,15-19 ára,40
2018,3001,1,15-19 ára,46
2020,1601,2,15-19 ára,46
2021,0804,2,15-19 ára,73
2008,3503,1,15-19 ára,80
2008,1201,1,15-19 ára,78
2009,2302,2,15-19 ára,43
2016,1806,1,15-19 ára,22
2009,0807,1,15-19 ára,42
2016,0806,2,15-19 ára,52
2020,3102,2,15-19 ára,34
2010,3501,2,15-19 ára,47
2019,1302,2,15-19 ára,59
2010,4002,1,15-19 ára,89
2016,2502,1,15-19 ára,27
2014,0104,2,15-19 ára,18
2012,1603,2,15-19 ára,151
2013,2404,1,15-19 ára,70
2015,3102,1,15-19 ára,31
2023,0702,1,15-19 ára,32
2019,1001,2,15-19 ára,50
2015,1706,1,15-19 ára,53
2014,3305,1,15-19 ára,73
2015,0708,2,15-19 ára,55
2014,0601,2,15-19 ára,62
2015,3402,1,15-19 ára,42
2016,2503,2,15-19 ára,52
2014,2205,1,15-19 ára,45
2016,0705,2,15-19 ára,67
2009,1503,2,15-19 ára,91
2016,0404,2,15-19 ára,68
2015,0204,2,15-19 ára,42
2018,1801,2,15-19 ára,52
2013,1201,1,15-19 ára,77
2008,2504,2,15-19 ára,64
2016,1202,2,15-19 ára,96
2012,2705,1,15-19 ára,63
2011,4102,2,15-19 ára,99
2019,2007,1,15-19 ára,58
2022,1901,2,15-19 ára,74
2016,1601,1,15-19 ára,48
2010,1401,1,15-19 ára,35
2010,0206,1,15-19 ára,64
2010,0603,1,15-19 ára,28
2011,0503,1,15-19 ára,51
2011,3402,2,15-19 ára,37
2009,2204,2,15-19 ára,40
2016,2008,1,15-19 ára,34
2008,0702,2,15-19 ára,49
2018,0904,2,15-19 ára,59
2009,2006,2,15-19 ára,65
2016,1102,2,15-19 ára,75
2017,2407,2,15-19 ára,23
2014,3304,2,15-19 ára,59
2015,3502,1,15-19 ára,82
2020,0207,2,15-19 ára,27
2009,1202,1,15-19 ára,115
2024,0202,2,15-19 ára,31
2018,0701,2,15-19 ára,35
2017,0207,2,15-19 ára,17
2008,0206,2,15-19 ára,49
2010,4002,2,15-19 ára,104
2018,2104,2,15-19 ára,83
2021,3301,2,15-19 ára,47
2023,2103,2,15-19 ára,47
2024,2301,2,15-19 ára,57
2021,2904,2,15-19 ára,76
2022,1701,1,15-19 ára,43
2010,0804,2,15-19 ára,81
2014,4101,1,15-19 ára,47
2023,1803,1,15-19 ára,61
2019,3102,1,15-19 ára,43
2019,2803,2,15-19 ára,68
2020,4204,1,15-19 ára,30
2020,1501,1,15-19 ára,70
2015,0504,1,15-19 ára,32
2024,0101,1,15-19 ára,34
2021,0801,1,15-19 ára,35
2011,3401,1,15-19 ára,76
2012,3202,2,15-19 ára,59
2010,2104,1,15-19 ára,73
2019,3703,1,15-19 ára,46
2017,2903,1,15-19 ára,33
2018,0205,2,15-19 ára,36
2010,0602,2,15-19 ára,62
2023,3303,1,15-19 ára,60
2011,3502,1,15-19 ára,76
2008,1808,1,15-19 ára,77
2023,4202,1,15-19 ára,43
2015,2102,1,15-19 ára,31
2022,4203,2,15-19 ára,39
2008,3302,2,15-19 ára,74
2020,2703,1,15-19 ára,107
2009,2703,1,15-19 ára,95
2017,1502,2,15-19 ára,62
2013,0202,2,15-19 ára,30
2009,0403,2,15-19 ára,16
2019,2002,2,15-19 ára,13
2023,1811,1,15-19 ára,55
2009,3802,2,15-19 ára,21
2013,0405,1,15-19 ára,30
2015,1805,2,15-19 ára,49
2021,2904,1,15-19 ára,84
2013,1703,2,15-19 ára,46
2016,2703,2,15-19 ára,75
2016,0606,1,15-19 ára,64
2020,1904,1,15-19 ára,44
2010,0601,2,15-19 ára,74
2016,4102,1,15-19 ára,95
2009,0302,2,15-19 ára,62
2015,4203,2,15-19 ára,45
2013,0801,2,15-19 ára,38
2009,4203,1,15-19 ára,36
2014,1002,2,15-19 ára,50
2020,2503,1,15-19 ára,60
2011,2407,1,15-19 ára,11
2009,2705,1,15-19 ára,46
2008,2701,1,15-19 ára,53
2016,3801,2,15-19 ára,47
2012,3702,1,15-19 ára,48
2024,3101,1,15-19 ára,84
2009,0802,1,15-19 ára,43
2011,0804,2,15-19 ára,84
2010,2602,1,15-19 ára,110
2018,2504,1,15-19 ára,40
2023,0405,2,15-19 ára,56
2017,1401,1,15-19 ára,62
2010,3802,1,15-19 ára,16
2021,2202,2,15-19 ára,66
2021,3802,2,15-19 ára,37
2024,3101,2,15-19 ára,90
2010,2106,1,15-19 ára,44
2022,1809,2,15-19 ára,77
2019,1006,2,15-19 ára,61
2018,2601,2,15-19 ára,81
2011,1002,1,15-19 ára,55
2011,0807,2,15-19 ára,40
2011,1503,2,15-19 ára,86
2013,1803,2,15-19 ára,6
2010,3703,2,15-19 ára,68
2008,4102,1,15-19 ára,106
2014,2702,2,15-19 ára,57
2015,0606,1,15-19 ára,60
2013,3702,1,15-19 ára,43
2019,3102,2,15-19 ára,29
2008,0503,1,15-19 ára,46
2018,2003,2,15-19 ára,41
2017,2901,1,15-19 ára,113
2009,0101,2,15-19 ára,45
2022,0606,1,15-19 ára,38
2019,2105,1,15-19 ára,26
2013,2403,1,15-19 ára,75
2009,0304,2,15-19 ára,36
2018,1904,1,15-19 ára,33
2022,1004,1,15-19 ára,76
2019,0104,2,15-19 ára,14
2008,3001,2,15-19 ára,3
2008,0102,1,15-19 ára,43
2017,1304,2,15-19 ára,40
2015,3504,2,15-19 ára,99
2013,0304,2,15-19 ára,35
2019,1402,2,15-19 ára,51
2013,1101,2,15-19 ára,20
2012,3501,2,15-19 ára,50
2016,0707,1,15-19 ára,27
2022,2301,1,15-19 ára,62
2018,0901,2,15-19 ára,83
2017,1706,1,15-19 ára,50
2008,1102,1,15-19 ára,135
2017,1504,1,15-19 ára,74
2015,3602,1,15-19 ára,83
2010,1305,1,15-19 ára,31
2015,4202,1,15-19 ára,40
2015,0208,1,15-19 ára,29
2008,1701,2,15-19 ára,35
2009,1504,1,15-19 ára,67
2015,3003,1,15-19 ára,67
2012,4101,1,15-19 ára,43
2021,0604,1,15-19 ára,42
2009,2104,1,15-19 ára,79
2011,2902,2,15-19 ára,49
2018,2201,2,15-19 ára,54
2012,4204,2,15-19 ára,34
2016,0601,1,15-19 ára,67
2011,3803,1,15-19 ára,63
2014,3204,2,15-19 ára,87
2016,0702,1,15-19 ára,29
2017,3004,2,15-19 ára,58
2022,3006,1,15-19 ára,36
2012,3104,2,15-19 ára,50
2019,0208,2,15-19 ára,37
2014,1804,2,15-19 ára,48
2013,0204,2,15-19 ára,39
2024,3601,2,15-19 ára,46
2020,1004,2,15-19 ára,78
2016,3203,2,15-19 ára,50
2022,2101,2,15-19 ára,70
2016,3003,2,15-19 ára,51
2010,2303,2,15-19 ára,70
2024,1803,1,15-19 ára,62
2012,0405,1,15-19 ára,30
2010,4204,2,15-19 ára,28
2012,3603,1,15-19 ára,111
2017,1002,2,15-19 ára,52
2022,2503,1,15-19 ára,60
2014,0504,1,15-19 ára,35
2020,3802,1,15-19 ára,45
2020,4201,1,15-19 ára,52
2023,2705,2,15-19 ára,89
2022,3703,1,15-19 ára,62
2019,1504,1,15-19 ára,60
2010,1501,1,15-19 ára,94
2013,1005,1,15-19 ára,62
2019,1903,1,15-19 ára,25
2024,3603,1,15-19 ára,87
2014,3205,2,15-19 ára,28
2023,3402,1,15-19 ára,27
2020,3903,1,15-19 ára,74
2015,1201,1,15-19 ára,67
2011,1903,2,15-19 ára,13
2017,1102,1,15-19 ára,71
2014,4101,2,15-19 ára,60
2017,2702,1,15-19 ára,57
2019,1402,1,15-19 ára,50
2020,3902,2,15-19 ára,53
2023,2503,2,15-19 ára,68
2015,1904,2,15-19 ára,42
2012,3502,1,15-19 ára,71
2016,3101,1,15-19 ára,82
2021,3504,1,15-19 ára,80
2015,2402,1,15-19 ára,89
2022,3401,1,15-19 ára,61
2008,0804,1,15-19 ára,105
2009,1809,1,15-19 ára,50
2020,4103,2,15-19 ára,34
2024,0708,2,15-19 ára,54
2023,1301,1,15-19 ára,76
2012,0707,1,15-19 ára,29
2009,0602,1,15-19 ára,71
2024,3305,1,15-19 ára,59
2011,3204,2,15-19 ára,96
2008,3601,1,15-19 ára,87
2016,3105,2,15-19 ára,47
2013,1804,2,15-19 ára,52
2008,0302,2,15-19 ára,59
2012,0302,2,15-19 ára,40
2023,2204,1,15-19 ára,71
2018,3602,1,15-19 ára,74
2010,1903,2,15-19 ára,14
2009,0605,1,15-19 ára,30
2009,3002,2,15-19 ára,10
2024,2801,2,15-19 ára,76
2015,1703,1,15-19 ára,42
2018,0901,1,15-19 ára,84
2020,3602,2,15-19 ára,61
2011,0302,1,15-19 ára,40
2012,3001,1,15-19 ára,19
2014,0207,2,15-19 ára,18
2009,0704,1,15-19 ára,70
2012,3301,2,15-19 ára,55
2013,0203,2,15-19 ára,50
2017,0807,1,15-19 ára,52
2019,2003,2,15-19 ára,36
2020,0807,1,15-19 ára,41
2009,1602,2,15-19 ára,66
2012,2101,1,15-19 ára,90
2024,1705,1,15-19 ára,70
2016,0207,1,15-19 ára,18
2022,1004,2,15-19 ára,79
2016,1104,2,15-19 ára,76
2021,0708,2,15-19 ára,55
2009,2702,2,15-19 ára,57
2020,2504,2,15-19 ára,53
2009,1205,2,15-19 ára,48
2008,0603,1,15-19 ára,32
2022,3803,2,15-19 ára,56
2020,2702,2,15-19 ára,70
2008,1101,1,15-19 ára,25
2013,1802,1,15-19 ára,49
2021,3001,2,15-19 ára,41
2019,3005,2,15-19 ára,52
2018,0902,1,15-19 ára,42
2024,2601,1,15-19 ára,64
2009,0802,2,15-19 ára,51
2024,4101,1,15-19 ára,43
2022,0805,2,15-19 ára,51
2015,0903,2,15-19 ára,68
2024,3005,2,15-19 ára,62
2022,1101,2,15-19 ára,33
2015,3001,2,15-19 ára,33
2017,0702,2,15-19 ára,35
2015,3402,2,15-19 ára,30
2022,1403,1,15-19 ára,63
2018,0803,1,15-19 ára,62
2023,2005,1,15-19 ára,63
2016,0704,2,15-19 ára,56
2012,3302,1,15-19 ára,65
2015,0905,2,15-19 ára,45
2008,3801,2,15-19 ára,19
2022,0701,1,15-19 ára,43
2021,1103,2,15-19 ára,75
2018,0807,1,15-19 ára,60
2014,0202,2,15-19 ára,31
2016,0903,1,15-19 ára,76
2013,0502,1,15-19 ára,53
2015,3204,2,15-19 ára,75
2016,2902,1,15-19 ára,37
2014,3602,2,15-19 ára,73
2019,1003,2,15-19 ára,78
2017,2006,1,15-19 ára,79
2015,1802,1,15-19 ára,58
2008,2006,2,15-19 ára,68
2020,3701,2,15-19 ára,54
2012,2302,1,15-19 ára,54
2018,2203,2,15-19 ára,41
2020,1808,1,15-19 ára,94
2023,0708,1,15-19 ára,62
2016,3001,2,15-19 ára,40
2020,2601,2,15-19 ára,57
2009,4201,1,15-19 ára,49
2020,1503,2,15-19 ára,84
2015,2504,1,15-19 ára,71
2015,2407,1,15-19 ára,14
2017,2303,1,15-19 ára,53
2024,3504,1,15-19 ára,96
2010,1806,1,15-19 ára,31
2017,1811,1,15-19 ára,56
2013,2404,2,15-19 ára,59
2013,4102,2,15-19 ára,107
2022,3001,2,15-19 ára,37
2019,1811,1,15-19 ára,65
2017,2705,1,15-19 ára,51
2011,2901,1,15-19 ára,100
2011,1101,1,15-19 ára,17
2017,4001,2,15-19 ára,38
2012,2001,1,15-19 ára,60
2020,0303,2,15-19 ára,19
2013,3801,1,15-19 ára,34
2014,0303,1,15-19 ára,26
2020,3402,2,15-19 ára,34
2013,2006,1,15-19 ára,71
2013,3003,1,15-19 ára,68
2014,2102,1,15-19 ára,31
2012,2401,2,15-19 ára,72
2014,1103,2,15-19 ára,79
2021,3305,1,15-19 ára,63
2009,1003,1,15-19 ára,109
2013,3703,2,15-19 ára,56
2018,1602,1,15-19 ára,94
2013,3005,2,15-19 ára,40
2014,3305,2,15-19 ára,63
2013,0103,1,15-19 ára,36
2023,3102,1,15-19 ára,44
2012,2804,1,15-19 ára,82
2014,0401,1,15-19 ára,66
2024,3802,1,15-19 ára,47
2024,1302,2,15-19 ára,76
2009,0804,2,15-19 ára,83
2016,4202,2,15-19 ára,35
2021,4201,1,15-19 ára,48
2011,0207,1,15-19 ára,28
2022,1802,2,15-19 ára,47
2009,3602,2,15-19 ára,68
2017,2105,1,15-19 ára,32
2021,4101,1,15-19 ára,35
2012,2005,1,15-19 ára,72
2019,0201,1,15-19 ára,40
2024,0504,1,15-19 ára,36
2014,3504,1,15-19 ára,84
2021,1202,1,15-19 ára,82
2024,4102,1,15-19 ára,108
2011,1602,1,15-19 ára,87
2019,2702,2,15-19 ára,64
2023,1104,1,15-19 ára,68
2022,2802,2,15-19 ára,38
2016,1304,2,15-19 ára,24
2021,1703,1,15-19 ára,36
2021,0104,2,15-19 ára,23
2020,2002,2,15-19 ára,16
2018,0405,1,15-19 ára,42
2021,0803,1,15-19 ára,66
2013,4103,2,15-19 ára,49
2009,2404,2,15-19 ára,65
2011,0103,1,15-19 ára,36
2009,4202,2,15-19 ára,46
2011,0504,1,15-19 ára,41
2009,3005,2,15-19 ára,45
2013,1903,1,15-19 ára,19
2020,2001,2,15-19 ára,54
2009,2901,1,15-19 ára,104
2019,2104,2,15-19 ára,86
2013,1504,1,15-19 ára,74
2020,0901,1,15-19 ára,93
2014,3105,1,15-19 ára,53
2020,2406,1,15-19 ára,47
2017,0204,1,15-19 ára,37
2021,0602,2,15-19 ára,49
2017,3201,1,15-19 ára,32
2017,2503,1,15-19 ára,63
2012,1705,1,15-19 ára,95
2010,1902,2,15-19 ára,29
2014,0205,1,15-19 ára,36
2008,2704,2,15-19 ára,70
2012,1102,1,15-19 ára,115
2017,0804,2,15-19 ára,87
2022,2102,1,15-19 ára,47
2022,1806,2,15-19 ára,24
2012,1902,1,15-19 ára,29
2013,0206,1,15-19 ára,55
2020,3402,1,15-19 ára,26
2024,0303,2,15-19 ára,59
2015,4102,2,15-19 ára,102
2015,1305,1,15-19 ára,39
2020,3101,1,15-19 ára,76
2016,1205,1,15-19 ára,74
2023,3105,1,15-19 ára,48
